display  D   display_settings.c:202  debug_display_settings           [   0.08454] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08456] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08458] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08460] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08461] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08463] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08465] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08467] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08469] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08471] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08473] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08475] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08476] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08478] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08480] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.08484] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08486] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.08488] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08490] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08492] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08494] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08496] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08497] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08499] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08501] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08503] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08505] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08507] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08509] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08511] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08512] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08514] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08516] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.08518] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08520] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.08522] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08523] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08526] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08527] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08529] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08531] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08533] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08535] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08537] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08540] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08546] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08549] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08552] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08553] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08555] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08557] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.08559] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08561] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.08563] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08564] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08567] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08568] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08570] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08572] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08574] Single Buffer requirement not met.
